"File","Lines","Extension"
"kernel\api\kapi_leonos.c","596",".c"
"kernel\api\kapi_list.c","4",".c"
"kernel\api\kapi_memory.c","169",".c"
"kernel\api\kapi_mempool.c","199",".c"
"kernel\api\kapi_module.c","21",".c"
"kernel\api\kapi_mutex.c","62",".c"
"kernel\api\kapi_netdevice.c","313",".c"
"kernel\api\kapi_netlink.c","256",".c"
"kernel\api\kapi_notifier.c","59",".c"
"kernel\api\kapi_params.c","281",".c"
"kernel\api\kapi_pci.c","210",".c"
"kernel\api\kapi_percpu.c","85",".c"
"kernel\api\kapi_process.c","297",".c"
"kernel\api\kapi_random.c","63",".c"
"kernel\api\kapi_rbtree.c","341",".c"
"kernel\api\kapi_rcu.c","64",".c"
"kernel\api\kapi_sched.c","36",".c"
"kernel\api\kapi_security.c","742",".c"
"kernel\api\kapi_seq_file.c","260",".c"
"kernel\api\kapi_skbuff.c","161",".c"
"kernel\api\kapi_smp.c","17",".c"
"kernel\api\kapi_socket.c","392",".c"
"kernel\api\kapi_sort.c","121",".c"
"kernel\api\kapi_string.c","174",".c"
"kernel\api\kapi_syscall.c","1811",".c"
"kernel\api\kapi_time.c","111",".c"
"kernel\api\kapi_vfs.c","573",".c"
"kernel\api\kapi_wait.c","46",".c"
"kernel\arch\x86_64\ac97.c","229",".c"
"kernel\arch\x86_64\acpi.c","82",".c"
"kernel\arch\x86_64\acpi_madt.c","136",".c"
"kernel\arch\x86_64\acpi_pm.c","361",".c"
"kernel\arch\x86_64\ahci.c","233",".c"
"kernel\arch\x86_64\apic.c","179",".c"
"kernel\arch\x86_64\bpf.c","1053",".c"
"kernel\arch\x86_64\buddy.c","270",".c"
"kernel\arch\x86_64\cfs.c","408",".c"
"kernel\arch\x86_64\conntrack.c","306",".c"
"kernel\arch\x86_64\cpufreq.c","480",".c"
"kernel\arch\x86_64\cpuidle.c","379",".c"
"kernel\arch\x86_64\dns.c","380",".c"
"kernel\arch\x86_64\efi.c","304",".c"
"kernel\arch\x86_64\efi_entry.c","193",".c"
"kernel\arch\x86_64\efi_runtime.c","180",".c"
"kernel\arch\x86_64\ehci.c","67",".c"
"kernel\arch\x86_64\elf.c","204",".c"
"kernel\arch\x86_64\ext2.c","340",".c"
"kernel\arch\x86_64\ext4.c","611",".c"
