"File","Lines","Extension"
"compat_layer\modules\rostests\apitests\apphelp\layerapi.c","879",".c"
"compat_layer\modules\rostests\apitests\apphelp\register.cpp","375",".cpp"
"compat_layer\modules\rostests\apitests\apphelp\testlist.c","20",".c"
"compat_layer\modules\rostests\winetests\ntdll\wow64.c","3228",".c"
"compat_layer\ntoskrnl\ps\apphelp.c","792",".c"
"compat_layer\ntoskrnl\vdm\vdmexec.c","406",".c"
"compat_layer\ntoskrnl\vdm\vdmmain.c","204",".c"
"compat_layer\sdk\include\reactos\compatguid_undoc.h","12",".h"
"compat_layer\sdk\include\reactos\compat_undoc.h","61",".h"
"compat_layer\sdk\include\reactos\subsys\win\vdm.h","117",".h"
"compat_layer\sdk\lib\rtl\wow64.c","59",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios.c","160",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios.h","170",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\bios32.c","1297",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\bios32.h","46",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\bios32p.h","47",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\dskbios32.c","705",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\dskbios32.h","23",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\kbdbios32.c","385",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\kbdbios32.h","41",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\moubios32.c","540",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\moubios32.h","22",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\vbe.c","780",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\vbe.h","114",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\vidbios32.c","73",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\bios32\vidbios32.h","23",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\kbdbios.c","100",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\kbdbios.h","23",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\rom.c","264",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\rom.h","46",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\umamgr.c","627",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\umamgr.h","32",".h"
"compat_layer\subsystems\mvdm\ntvdm\bios\vidbios.c","4040",".c"
"compat_layer\subsystems\mvdm\ntvdm\bios\vidbios.h","128",".h"
"compat_layer\subsystems\mvdm\ntvdm\clock.c","243",".c"
"compat_layer\subsystems\mvdm\ntvdm\clock.h","54",".h"
"compat_layer\subsystems\mvdm\ntvdm\console\console.c","608",".c"
"compat_layer\subsystems\mvdm\ntvdm\console\video.c","819",".c"
"compat_layer\subsystems\mvdm\ntvdm\console\video.h","35",".h"
"compat_layer\subsystems\mvdm\ntvdm\cpu\bop.c","53",".c"
"compat_layer\subsystems\mvdm\ntvdm\cpu\bop.h","26",".h"
"compat_layer\subsystems\mvdm\ntvdm\cpu\callback.c","147",".c"
"compat_layer\subsystems\mvdm\ntvdm\cpu\callback.h","61",".h"
"compat_layer\subsystems\mvdm\ntvdm\cpu\cpu.c","248",".c"
"compat_layer\subsystems\mvdm\ntvdm\cpu\cpu.h","79",".h"
"compat_layer\subsystems\mvdm\ntvdm\cpu\registers.c","710",".c"
"compat_layer\subsystems\mvdm\ntvdm\cpu\registers.h","119",".h"
"compat_layer\subsystems\mvdm\ntvdm\cpu\x86context.h","137",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dem.c","1658",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dem.h","122",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\bios.c","298",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\condrv.c","150",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\country.c","291",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\country.h","99",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\device.c","709",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\device.h","211",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\dos.c","2455",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\dos.h","347",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\dosfiles.c","1350",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\dosfiles.h","141",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\emsdrv.c","877",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\emsdrv.h","103",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\handle.c","357",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\handle.h","23",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\himem.c","818",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\himem.h","68",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\memory.c","685",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\memory.h","53",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\process.c","1048",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\dos32krnl\process.h","121",".h"
"compat_layer\subsystems\mvdm\ntvdm\dos\mouse32.c","1314",".c"
"compat_layer\subsystems\mvdm\ntvdm\dos\mouse32.h","83",".h"
"compat_layer\subsystems\mvdm\ntvdm\emulator.c","683",".c"
"compat_layer\subsystems\mvdm\ntvdm\emulator.h","138",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\cmos.c","591",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\cmos.h","154",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\disk.c","643",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\disk.h","91",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\dma.c","697",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\dma.h","62",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\keyboard.c","194",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\keyboard.h","25",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\mouse.c","479",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\mouse.h","69",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\pic.c","369",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\pic.h","40",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\pit.c","525",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\pit.h","80",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\ppi.c","87",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\ppi.h","24",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\ps2.c","554",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\ps2.h","60",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\sound\speaker.c","300",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\sound\speaker.h","19",".h"
"compat_layer\subsystems\mvdm\ntvdm\hardware\video\svga.c","2160",".c"
"compat_layer\subsystems\mvdm\ntvdm\hardware\video\svga.h","409",".h"
"compat_layer\subsystems\mvdm\ntvdm\int32.c","200",".c"
"compat_layer\subsystems\mvdm\ntvdm\int32.h","65",".h"
"compat_layer\subsystems\mvdm\ntvdm\io.c","606",".c"
"compat_layer\subsystems\mvdm\ntvdm\io.h","106",".h"
"compat_layer\subsystems\mvdm\ntvdm\memory.c","811",".c"
"compat_layer\subsystems\mvdm\ntvdm\memory.h","95",".h"
"compat_layer\subsystems\mvdm\ntvdm\ntvdm.c","616",".c"
"compat_layer\subsystems\mvdm\ntvdm\ntvdm.h","126",".h"
"compat_layer\subsystems\mvdm\ntvdm\utils.c","88",".c"
"compat_layer\subsystems\mvdm\ntvdm\utils.h","27",".h"
"compat_layer\subsystems\mvdm\ntvdm\vddsup.c","515",".c"
"compat_layer\subsystems\mvdm\ntvdm\vddsup.h","21",".h"
"compat_layer\subsystems\mvdm\samples\testvdd\testvdd.c","520",".c"
"compat_layer\subsystems\mvdm\vdmdbg\vdmdbg.c","214",".c"
"compat_layer\subsystems\mvdm\vdmdbg\vdmdbg.h","75",".h"
"compat_layer\subsystems\mvdm\wow16\user\user.c","24",".c"
"compat_layer\subsystems\win\basesrv\appcompat.c","67",".c"
"compat_layer\subsystems\win\basesrv\vdm.c","1459",".c"
"compat_layer\subsystems\win\basesrv\vdm.h","53",".h"
"compat_layer\subsystems\win\basesrv\vdm.c","1459",".c"
"kernel\arch\x86_64\com.c","766",".c"
"kernel\arch\x86_64\drv_audio.c","187",".c"
"kernel\arch\x86_64\drv_disk.c","278",".c"
"kernel\arch\x86_64\drv_display.c","109",".c"
"kernel\arch\x86_64\drv_hid.c","235",".c"
"kernel\arch\x86_64\drv_main.c","131",".c"
"kernel\arch\x86_64\drv_network.c","250",".c"
"kernel\arch\x86_64\drv_serial.c","298",".c"
"kernel\arch\x86_64\drv_usb.c","319",".c"
"kernel\arch\x86_64\hdr_tonemap.c","489",".c"
"kernel\arch\x86_64\hw_display.c","683",".c"
"kernel\arch\x86_64\powershell.c","1975",".c"
"kernel\arch\x86_64\wdm.c","478",".c"
"kernel\arch\x86_64\compat_ntvdm.c","782",".c"
"kernel\arch\x86_64\compat_sdb.c","752",".c"
"kernel\arch\x86_64\compat_main.c","92",".c"
"kernel\arch\x86_64\ap_trampoline_bin.h","349",".h"
"kernel\api\kapi_fs.c","452",".c"
"kernel\kernel\fs.c","524",".c"
"spatiotemporal\spatiotemporal_types.h","48",".h"
"spatiotemporal\spatiotemporal_core.h","81",".h"
"spatiotemporal\spatiotemporal_core.c","252",".c"
"spatiotemporal\spatiotemporal_analysis.h","113",".h"
"spatiotemporal\spatiotemporal_analysis.c","627",".c"
"spatiotemporal\spatiotemporal_visualization.h","135",".h"
"spatiotemporal\spatiotemporal_visualization.c","629",".c"
"spatiotemporal\spatiotemporal.h","81",".h"
"spatiotemporal\spatiotemporal_api.c","315",".c"
"apps\spatiotemporal_tool.c","211",".c"
"apps\spatiotemporal_tool.h","13",".h"
"spatiotemporal\tests\test_core.c","142",".c"
"spatiotemporal\tests\test_analysis.c","270",".c"
"spatiotemporal\examples\basic_usage.c","125",".c"
"include\kapi_vfs_ext.h","82",".h"
"include\kapi_device_manager.h","158",".h"
"include\kapi_memory_ext.h","181",".h"
"include\kapi_logging.h","187",".h"
"bin\elf_loader_enhanced.c","282",".c"
"include\kapi_trace.h","225",".h"
"bin\kex_loader_enhanced.c","326",".c"
"bin\kex_loader_enhanced.h","49",".h"
"kernel\api\kapi_vfs_ext.c","341",".c"
"bin\power_management_enhanced.c","302",".c"
"bin\power_management_enhanced.h","54",".h"
"kernel\api\kapi_logging.c","486",".c"
"bin\ui_enhancement.c","442",".c"
"bin\ui_enhancement.h","122",".h"
"include\kapi_window.h","305",".h"
"bin\security_enhancement.c","553",".c"
"bin\security_enhancement.h","110",".h"
"include\kapi_graphics2d.h","409",".h"
"include\enhanced_features.h","29",".h"
"bin\enhanced_features.c","236",".c"
"include\kapi_input.h","433",".h"
"kernel\api\kapi_window_manager.c","881",".c"
"include\kapi_debugger.h","235",".h"
"kernel\api\kapi_debugger.c","891",".c"
"examples\debugger_example.c","243",".c"
"include\kapi_profiler.h","267",".h"
"kernel\api\kapi_profiler.c","768",".c"
"examples\profiler_example.c","467",".c"
"include\kapi_memleak.h","344",".h"
"kernel\api\kapi_memleak.c","896",".c"
"examples\profiler_example.c","467",".c"
"examples\profiler_example.c","467",".c"
"examples\profiler_example.c","467",".c"
